Symbol,StockName,Sector,Currency
UD2.SI,JAPFA LTD. ,Consumer Staples,USD
BEW.SI,JB FOODS LIMITED ,Consumer Staples,SGD
BNE.SI,KENCANA AGRI LIMITED ,Consumer Staples,USD
K03.SI,KHONG GUAN LIMITED ,Consumer Staples,SGD
L46.SI,LUZHOU BIO-CHEM TECHNOLOGY LTD ,Consumer Staples,CNY
MV4.SI,MEWAH INTERNATIONAL INC. ,Consumer Staples,USD
AZT.SI,NUTRYFARM INTERNATIONAL LTD ,Consumer Staples,SGD
579.SI,OCEANUS GROUP LIMITED ,Consumer Staples,CNY
O32.SI,OLAM INTERNATIONAL LIMITED ,Consumer Staples,SGD
5ML.SI,OLD CHANG KEE LTD. ,Consumer Staples,SGD
5SY.SI,ONEAPEX LIMITED ,Consumer Staples,SGD
P11.SI,PACIFIC ANDES RESOURCES DEVLTD ,Consumer Staples,USD
Q01.SI,QAF LTD ,Consumer Staples,SGD
OV8.SI,SHENG SIONG GROUP LTD ,Consumer Staples,SGD
T4B.SI,SINO GRANDNESS FOOD IND GP LTD ,Consumer Staples,CNY
AAJ.SI,SUNMOON FOOD COMPANY LIMITED ,Consumer Staples,SGD
Y92.SI,THAI BEVERAGE PUBLIC CO LTD ,Consumer Staples,THB
AZR.SI,UNITED FOOD HOLDINGS LIMITED ,Consumer Staples,CNY
F34.SI,WILMAR INTERNATIONAL LIMITED ,Consumer Staples,USD
BJV.SI,YAMADA GREEN RESOURCES LIMITED ,Consumer Staples,USD
Y03.SI,YEO HIAP SENG LTD ,Consumer Staples,SGD
5EG.SI,ZHONGXIN FRUIT AND JUICE LTD ,Consumer Staples,SGD
BLZ.SI,ADVANCED HOLDINGS LTD. ,Energy,SGD
5TS.SI,ALPHA ENERGY HOLDINGS LIMITED ,Energy,SGD
RF7.SI,AMOS GROUP LIMITED ,Energy,SGD
Y35.SI,ANAN INTERNATIONAL LIMITED ,Energy,USD
5AL.SI,ANNICA HOLDINGS LIMITED ,Energy,SGD
5UL.SI,ATLANTIC NAVIGATION HLDG S)LTD ,Energy,SGD
BTP.SI,BAKER TECHNOLOGY LIMITED ,Energy,SGD
41H.SI,BLACKGOLD NATURAL RESOURCESLTD ,Energy,USD
